A4,,
Wavelength (nm),Intensity (a.u.),
380,9.749845505,
381.0599976,11.50025368,
381.9599915,11.16248989,
383.0299988,12.66975021,
383.9299927,12.99937534,
385,15.71314621,
386.0599976,15.02938557,
386.9599915,17.47076988,
388.0299988,18.03727913,
388.9299927,20.46920586,
390,19.81313896,
391.0700073,22.15151405,
392,24.90637779,
393.0700073,25.24821472,
394,29.32656288,
395.0700073,30.71865273,
396,34.89716339,
397.0700073,39.09233856,
398,42.39416885,
399.0700073,46.03929901,
400,44.83382797,
401.0599976,51.62384796,
401.9599915,55.35306168,
403.0299988,57.34661484,
403.9299927,62.70727539,
405,64.77223206,
406.0599976,68.60353851,
406.9599915,73.86051941,
408.0299988,80.97663116,
408.9299927,82.24318695,
410,91.60643005,
411.0599976,94.13410187,
411.9599915,104.0626221,
413.0299988,106.1861343,
413.9299927,110.7738571,
415,116.5936356,
416.0599976,119.9269791,
416.9599915,123.9741974,
418.0299988,132.8446045,
418.9299927,136.5824127,
420,144.625885,
421.0599976,147.7060242,
421.9599915,151.7756805,
423.0299988,159.4954376,
423.9299927,168.7020721,
425,169.5936127,
426.0599976,168.1680756,
426.9599915,171.8679504,
428.0299988,181.8029022,
428.9299927,189.6580658,
430,193.0757599,
431.0599976,194.1850586,
431.9599915,197.7930298,
433.0299988,203.2159882,
433.9299927,207.0817871,
435,202.8253784,
436.0599976,209.7023163,
436.9599915,211.6188354,
438.0299988,213.5874329,
438.9299927,218.1829376,
440,223.5381775,
441.0599976,222.2599792,
441.9599915,227.759491,
443.0299988,222.091568,
443.9299927,230.713501,
445,216.9161987,
446.0599976,230.0824127,
446.9599915,226.5804901,
448.0299988,233.2679596,
448.9299927,229.3692474,
450,230.0201111,
451.0599976,228.3811951,
451.9599915,233.5312042,
453.0299988,226.951004,
453.9299927,226.0097046,
455,230.0540619,
456.0599976,223.8128052,
456.9599915,226.2452393,
458.0299988,226.7534485,
458.9299927,216.760376,
460,220.7079926,
461.0599976,224.5244446,
461.9599915,224.8838806,
463.0299988,223.3161316,
463.9299927,226.1634064,
465,218.0185699,
466.0599976,214.4794159,
466.9599915,209.6203613,
468.0299988,210.0521393,
468.9299927,206.6176147,
470,203.4886475,
471.0400085,196.7544708,
471.9400024,200.2999268,
472.980011,198.7303925,
474.019989,189.6437378,
475.0700073,195.0181274,
475.9700012,184.2295074,
477.0100098,184.6330109,
478.0499878,174.4338226,
478.9500122,178.4496765,
480,169.7808533,
481.0400085,167.0362854,
481.9400024,169.4434967,
482.980011,164.3123016,
484.019989,157.5364838,
485.0700073,154.714859,
485.9700012,146.4106445,
487.0100098,144.8791809,
488.0499878,144.9781036,
488.9500122,138.2010498,
490,133.9952698,
491.0599976,132.5187836,
491.9599915,132.8780975,
493.0299988,129.6683807,
493.9299927,127.206665,
495,117.095192,
496.0599976,116.334198,
496.9599915,114.9356995,
498.0299988,112.1973495,
498.9299927,111.7014847,
500,106.6574402,
501.0400085,102.3749008,
501.9400024,99.11125946,
502.980011,97.75431824,
504.019989,100.8113556,
505.0700073,98.30728149,
505.9700012,93.97714996,
507.0100098,86.06367493,
508.0499878,87.49445343,
508.9500122,83.76434326,
510,78.96341705,
511.0400085,77.17641449,
511.9400024,74.23608398,
512.9799805,71.55848694,
514.0200195,68.38864136,
515.0700073,69.23064423,
